"City,Colors Reported,Shape Reported,State,Time",qfqefdqefqed
"Ithaca,,TRIANGLE,NY,6/1/1930 22:00",qfqefdqefqed
"Willingboro,,OTHER,NJ,6/30/1930 20:00",qfqefdqefqed
"Holyoke,,OVAL,CO,2/15/1931 14:00",qfqefdqefqed
"Abilene,,DISK,KS,6/1/1931 13:00",qfqefdqefqed
"New York Worlds Fair,,LIGHT,NY,4/18/1933 19:00",qfqefdqefqed
"Valley City,,DISK,ND,9/15/1934 15:30",qfqefdqefqed
"Crater Lake,,CIRCLE,CA,6/15/1935 0:00",qfqefdqefqed
"Alma,,DISK,MI,7/15/1936 0:00",qfqefdqefqed
"Eklutna,,CIGAR,AK,10/15/1936 17:00",qfqefdqefqed
"Hubbard,,CYLINDER,OR,6/15/1937 0:00",qfqefdqefqed
"Fontana,,LIGHT,CA,8/15/1937 21:00",qfqefdqefqed
"Waterloo,,FIREBALL,AL,6/1/1939 20:00",qfqefdqefqed
"Belton,RED,SPHERE,SC,6/30/1939 20:00",qfqefdqefqed
"Keokuk,,OVAL,IA,7/7/1939 2:00",qfqefdqefqed
"Ludington,,DISK,MI,6/1/1941 13:00",qfqefdqefqed
"Forest Home,,CIRCLE,CA,7/2/1941 11:30",qfqefdqefqed
"Los Angeles,,,CA,2/25/1942 0:00",qfqefdqefqed
"Hapeville,,,GA,6/1/1942 22:30",qfqefdqefqed
"Oneida,,RECTANGLE,TN,7/15/1942 1:00",qfqefdqefqed
"Bering Sea,RED,OTHER,AK,4/30/1943 23:00",qfqefdqefqed
"Nebraska,,DISK,NE,6/1/1943 15:00",qfqefdqefqed
",,,LA,8/15/1943 0:00",qfqefdqefqed
",,LIGHT,LA,8/15/1943 0:00",qfqefdqefqed
"Owensboro,,RECTANGLE,KY,10/15/1943 11:00",qfqefdqefqed
"Wilderness,,DISK,WV,1/1/1944 10:00",qfqefdqefqed
"San Diego,,CIGAR,CA,1/1/1944 12:00",qfqefdqefqed
"Wilderness,,DISK,WV,1/1/1944 12:00",qfqefdqefqed
"Clovis,,DISK,NM,4/2/1944 11:00",qfqefdqefqed
"Los Alamos,,DISK,NM,6/1/1944 12:00",qfqefdqefqed
"Ft. Duschene,,DISK,UT,6/30/1944 10:00",qfqefdqefqed
"South Kingstown,,SPHERE,RI,7/1/1944 20:00",qfqefdqefqed
"North Tampa,,CYLINDER,FL,7/15/1944 13:00",qfqefdqefqed
"Ft. Lee,,CIGAR,VA,1/1/1945 12:00",qfqefdqefqed
"Salinas AFB,,DISK,CA,6/1/1945 12:00",qfqefdqefqed
"Jasper,,FIREBALL,FL,6/1/1945 13:30",qfqefdqefqed
"Winston-Salem,,DISK,NC,6/7/1945 7:00",qfqefdqefqed
"Portsmouth,RED,FORMATION,VA,7/10/1945 1:30",qfqefdqefqed
"Dallas,,SPHERE,TX,7/15/1945 14:00",qfqefdqefqed
"Huntington Beach,,DISK,CA,8/8/1945 12:00",qfqefdqefqed
"San Antonio,,OVAL,NM,8/16/1945 11:30",qfqefdqefqed
"Roswell,,SPHERE,NM,12/15/1945 2:00",qfqefdqefqed
"New York City,,DISK,NY,1/8/1946 2:00",qfqefdqefqed
"Merced,,SPHERE,CA,2/1/1946 17:00",qfqefdqefqed
"Alice,,DISK,TX,3/15/1946 15:30",qfqefdqefqed
"Blairsden,GREEN,SPHERE,CA,6/30/1946 19:00",qfqefdqefqed
"Index,,FIREBALL,WA,6/30/1946 21:00",qfqefdqefqed
"South Portland,,OVAL,ME,7/1/1946 13:30",qfqefdqefqed
"Oak Lawn,,FORMATION,IL,9/12/1946 0:00",qfqefdqefqed
"Dome,,FLASH,AZ,9/30/1946 20:30",qfqefdqefqed
"Conroe,,OTHER,TX,1/10/1947 20:00",qfqefdqefqed
"Syracuse,,DISK,NY,2/20/1947 22:15",qfqefdqefqed
"Miami,,OTHER,FL,4/15/1947 14:00",qfqefdqefqed
"San Deigo,,TRIANGLE,CA,4/15/1947 23:00",qfqefdqefqed
"Minden,,,LA,6/1/1947 0:00",qfqefdqefqed
"Cleveland,,LIGHT,OH,6/1/1947 2:30",qfqefdqefqed
"Espanola,,CIRCLE,NM,6/1/1947 17:00",qfqefdqefqed
"Oroville,,,CA,6/1/1947 18:00",qfqefdqefqed
"Oakmont,,,PA,6/13/1947 20:18",qfqefdqefqed
